Weight Total;Axis1R;Axis1L;Axis2R;Axis2L;Axis3R;Axis3L;Axis4R;Axis4L;Axis5R;Axis5L
34476;2871;2871;5751;5751;2889;2889;2865;2865;2862;2862
34752;2877;2877;5790;5790;2910;2910;2901;2901;2898;2898
34794;2904;2904;5763;5763;2883;2883;2922;2922;2925;2925
34410;2904;2904;5721;5721;2847;2847;2862;2862;2871;2871
34548;2850;2850;5787;5787;2919;2919;2859;2859;2859;2859
34866;2901;2901;5787;5787;2889;2889;2928;2928;2928;2928
34440;2910;2910;5727;5727;2844;2844;2871;2871;2868;2868
34512;2850;2850;5778;5778;2913;2913;2862;2862;2853;2853
34890;2892;2892;5793;5793;2907;2907;2928;2928;2925;2925
34524;2919;2919;5730;5730;2841;2841;2883;2883;2889;2889
34494;2853;2853;5775;5775;2907;2907;2859;2859;2853;2853
34872;2901;2901;5787;5787;2895;2895;2925;2925;2928;2928
34386;2904;2904;5721;5721;2844;2844;2856;2856;2868;2868
34656;2850;2850;5793;5793;2928;2928;2886;2886;2871;2871
34836;2901;2901;5778;5778;2889;2889;2922;2922;2928;2928
34398;2904;2904;5721;5721;2844;2844;2859;2859;2871;2871
34590;2850;2850;5790;5790;2925;2925;2871;2871;2859;2859
34896;2904;2904;5787;5787;2901;2901;2928;2928;2928;2928
34440;2910;2910;5724;5724;2841;2841;2868;2868;2877;2877
34512;2847;2847;5781;5781;2913;2913;2862;2862;2853;2853
34884;2898;2898;5778;5778;2910;2910;2928;2928;2928;2928
34554;2919;2919;5730;5730;2844;2844;2886;2886;2898;2898
34362;2868;2868;5751;5751;2877;2877;2844;2844;2841;2841
34770;2862;2862;5802;5802;2928;2928;2904;2904;2889;2889
34818;2919;2919;5772;5772;2886;2886;2907;2907;2925;2925
34422;2904;2904;5721;5721;2838;2838;2871;2871;2877;2877
34554;2859;2859;5778;5778;2910;2910;2871;2871;2859;2859
34890;2892;2892;5781;5781;2913;2913;2931;2931;2928;2928
34560;2919;2919;5730;5730;2844;2844;2889;2889;2898;2898
34380;2871;2871;5754;5754;2883;2883;2841;2841;2841;2841
34848;2868;2868;5805;5805;2925;2925;2916;2916;2910;2910
34734;2919;2919;5754;5754;2865;2865;2910;2910;2919;2919
34356;2886;2886;5736;5736;2862;2862;2844;2844;2850;2850
34758;2859;2859;5802;5802;2928;2928;2901;2901;2889;2889
34818;2907;2907;5772;5772;2883;2883;2922;2922;2925;2925
34362;2898;2898;5721;5721;2850;2850;2853;2853;2859;2859
34650;2853;2853;5793;5793;2925;2925;2880;2880;2874;2874
34872;2910;2910;5781;5781;2895;2895;2925;2925;2925;2925
34416;2907;2907;5721;5721;2844;2844;2862;2862;2874;2874
34590;2850;2850;5790;5790;2919;2919;2874;2874;2862;2862
34878;2907;2907;5775;5775;2901;2901;2928;2928;2928;2928
34476;2913;2913;5727;5727;2841;2841;2874;2874;2883;2883
34512;2859;2859;5775;5775;2901;2901;2865;2865;2856;2856
34812;2889;2889;5787;5787;2904;2904;2916;2916;2910;2910
34506;2901;2901;5739;5739;2865;2865;2868;2868;2880;2880
34302;2856;2856;5748;5748;2880;2880;2835;2835;2832;2832
34644;2847;2847;5796;5796;2922;2922;2886;2886;2871;2871
34824;2898;2898;5781;5781;2892;2892;2922;2922;2919;2919
34488;2913;2913;5724;5724;2838;2838;2880;2880;2889;2889
34290;2868;2868;5742;5742;2868;2868;2832;2832;2835;2835
34644;2838;2838;5796;5796;2919;2919;2889;2889;2880;2880
34626;2904;2904;5754;5754;2874;2874;2889;2889;2892;2892
34488;2892;2892;5742;5742;2859;2859;2874;2874;2877;2877
34458;2871;2871;5757;5757;2877;2877;2862;2862;2862;2862
34584;2871;2871;5766;5766;2895;2895;2880;2880;2880;2880
34566;2883;2883;5751;5751;2874;2874;2886;2886;2889;2889
34356;2880;2880;5712;5712;2853;2853;2865;2865;2868;2868
34398;2856;2856;5748;5748;2880;2880;2859;2859;2856;2856
34554;2868;2868;5757;5757;2880;2880;2886;2886;2886;2886
34440;2883;2883;5733;5733;2856;2856;2874;2874;2874;2874
34320;2865;2865;5736;5736;2865;2865;2841;2841;2853;2853
34482;2856;2856;5760;5760;2877;2877;2874;2874;2874;2874
34494;2883;2883;5739;5739;2865;2865;2883;2883;2877;2877
34326;2868;2868;5730;5730;2862;2862;2850;2850;2853;2853
34488;2856;2856;5757;5757;2886;2886;2874;2874;2871;2871
34506;2883;2883;5739;5739;2865;2865;2880;2880;2886;2886
34344;2874;2874;5727;5727;2856;2856;2856;2856;2859;2859
34428;2853;2853;5751;5751;2883;2883;2865;2865;2862;2862
34554;2874;2874;5754;5754;2874;2874;2886;2886;2889;2889
34530;2889;2889;5742;5742;2871;2871;2880;2880;2883;2883
34440;2871;2871;5748;5748;2877;2877;2865;2865;2859;2859
34584;2865;2865;5769;5769;2895;2895;2883;2883;2880;2880
34548;2892;2892;5739;5739;2868;2868;2886;2886;2889;2889
34404;2874;2874;5739;5739;2868;2868;2859;2859;2862;2862
34554;2865;2865;5766;5766;2886;2886;2883;2883;2877;2877
34572;2889;2889;5754;5754;2874;2874;2889;2889;2880;2880
34398;2880;2880;5739;5739;2865;2865;2850;2850;2865;2865
34548;2862;2862;5766;5766;2895;2895;2877;2877;2874;2874
34614;2886;2886;5754;5754;2877;2877;2895;2895;2895;2895
34446;2886;2886;5733;5733;2859;2859;2871;2871;2874;2874
34440;2865;2865;5751;5751;2883;2883;2862;2862;2859;2859
34614;2874;2874;5766;5766;2892;2892;2889;2889;2886;2886
34560;2892;2892;5745;5745;2868;2868;2886;2886;2889;2889
34410;2877;2877;5736;5736;2862;2862;2862;2862;2868;2868
34470;2862;2862;5757;5757;2886;2886;2868;2868;2862;2862
34626;2874;2874;5766;5766;2889;2889;2892;2892;2892;2892
34500;2883;2883;5739;5739;2862;2862;2880;2880;2886;2886
34428;2868;2868;5745;5745;2880;2880;2862;2862;2859;2859
34614;2871;2871;5766;5766;2892;2892;2892;2892;2886;2886
34542;2892;2892;5745;5745;2865;2865;2883;2883;2886;2886
34548;2865;2865;5766;5766;2892;2892;2877;2877;2874;2874
34602;2883;2883;5748;5748;2880;2880;2895;2895;2895;2895
34446;2886;2886;5733;5733;2859;2859;2871;2871;2874;2874
34446;2865;2865;5754;5754;2877;2877;2865;2865;2862;2862
34620;2877;2877;5766;5766;2889;2889;2892;2892;2886;2886
34512;2892;2892;5745;5745;2865;2865;2868;2868;2886;2886
34398;2874;2874;5739;5739;2865;2865;2859;2859;2862;2862
34524;2862;2862;5766;5766;2892;2892;2874;2874;2868;2868
34458;2886;2886;5733;5733;2862;2862;2874;2874;2874;2874
34452;2862;2862;5754;5754;2883;2883;2865;2865;2862;2862
34626;2874;2874;5763;5763;2892;2892;2895;2895;2889;2889
