Weight Total;Axis1R;Axis1L;Axis2R;Axis2L;Axis3R;Axis3L;Axis4R;Axis4L;Axis5R;Axis5L
34320;2868;2868;5703;5703;2853;2853;2868;2868;2868;2868
34260;2868;2868;5697;5697;2844;2844;2859;2859;2862;2862
34158;2856;2856;5688;5688;2829;2829;2853;2853;2853;2853
34134;2856;2856;5691;5691;2832;2832;2844;2844;2844;2844
34104;2853;2853;5688;5688;2835;2835;2829;2829;2847;2847
34116;2853;2853;5691;5691;2826;2826;2841;2841;2847;2847
34104;2850;2850;5694;5694;2838;2838;2838;2838;2832;2832
34104;2847;2847;5694;5694;2844;2844;2832;2832;2835;2835
34110;2841;2841;5703;5703;2847;2847;2832;2832;2832;2832
34128;2835;2835;5706;5706;2853;2853;2835;2835;2835;2835
34176;2835;2835;5715;5715;2859;2859;2841;2841;2838;2838
34242;2838;2838;5718;5718;2868;2868;2850;2850;2847;2847
34314;2847;2847;5721;5721;2865;2865;2865;2865;2859;2859
34320;2859;2859;5712;5712;2856;2856;2865;2865;2868;2868
34248;2853;2853;5703;5703;2844;2844;2859;2859;2865;2865
34194;2862;2862;5691;5691;2835;2835;2853;2853;2856;2856
34134;2853;2853;5691;5691;2838;2838;2841;2841;2844;2844
34128;2844;2844;5700;5700;2847;2847;2835;2835;2838;2838
34176;2838;2838;5712;5712;2859;2859;2841;2841;2838;2838
34290;2841;2841;5727;5727;2871;2871;2856;2856;2850;2850
34302;2850;2850;5706;5706;2865;2865;2865;2865;2865;2865
34344;2865;2865;5712;5712;2853;2853;2871;2871;2871;2871
34212;2865;2865;5697;5697;2835;2835;2853;2853;2856;2856
34134;2853;2853;5694;5694;2841;2841;2841;2841;2838;2838
34134;2841;2841;5712;5712;2856;2856;2823;2823;2835;2835
34254;2838;2838;5721;5721;2865;2865;2853;2853;2850;2850
34332;2850;2850;5724;5724;2865;2865;2868;2868;2859;2859
34356;2859;2859;5718;5718;2859;2859;2871;2871;2871;2871
34302;2865;2865;5703;5703;2850;2850;2865;2865;2868;2868
34200;2865;2865;5694;5694;2838;2838;2850;2850;2853;2853
34146;2850;2850;5697;5697;2847;2847;2838;2838;2841;2841
34182;2838;2838;5712;5712;2859;2859;2841;2841;2841;2841
34278;2844;2844;5724;5724;2871;2871;2853;2853;2847;2847
34338;2847;2847;5727;5727;2871;2871;2865;2865;2859;2859
34356;2847;2847;5721;5721;2865;2865;2874;2874;2871;2871
34338;2871;2871;5712;5712;2850;2850;2868;2868;2868;2868
34230;2868;2868;5694;5694;2838;2838;2856;2856;2859;2859
34146;2853;2853;5697;5697;2844;2844;2838;2838;2841;2841
34182;2841;2841;5712;5712;2859;2859;2841;2841;2838;2838
34284;2844;2844;5727;5727;2871;2871;2853;2853;2847;2847
34332;2850;2850;5715;5715;2871;2871;2868;2868;2862;2862
34386;2862;2862;5718;5718;2862;2862;2877;2877;2874;2874
34332;2871;2871;5709;5709;2847;2847;2868;2868;2871;2871
34242;2868;2868;5697;5697;2841;2841;2859;2859;2856;2856
34134;2859;2859;5694;5694;2841;2841;2826;2826;2847;2847
34164;2853;2853;5703;5703;2844;2844;2841;2841;2841;2841
34158;2844;2844;5709;5709;2856;2856;2838;2838;2832;2832
34236;2838;2838;5721;5721;2868;2868;2847;2847;2844;2844
34302;2844;2844;5730;5730;2871;2871;2856;2856;2850;2850
34362;2853;2853;5730;5730;2871;2871;2868;2868;2859;2859
34398;2862;2862;5724;5724;2868;2868;2874;2874;2871;2871
34356;2865;2865;5712;5712;2856;2856;2871;2871;2874;2874
34266;2871;2871;5700;5700;2841;2841;2859;2859;2862;2862
34200;2862;2862;5697;5697;2841;2841;2847;2847;2853;2853
34152;2841;2841;5706;5706;2847;2847;2841;2841;2841;2841
34200;2844;2844;5715;5715;2859;2859;2841;2841;2841;2841
34278;2844;2844;5727;5727;2871;2871;2850;2850;2847;2847
34380;2853;2853;5730;5730;2874;2874;2868;2868;2865;2865
34392;2865;2865;5721;5721;2862;2862;2874;2874;2874;2874
34356;2874;2874;5712;5712;2850;2850;2871;2871;2871;2871
34242;2871;2871;5685;5685;2844;2844;2859;2859;2862;2862
34218;2862;2862;5700;5700;2841;2841;2853;2853;2853;2853
34194;2859;2859;5706;5706;2841;2841;2844;2844;2847;2847
34176;2850;2850;5712;5712;2853;2853;2838;2838;2835;2835
34212;2844;2844;5721;5721;2865;2865;2832;2832;2844;2844
34290;2844;2844;5730;5730;2862;2862;2856;2856;2853;2853
34362;2853;2853;5733;5733;2874;2874;2868;2868;2853;2853
34416;2868;2868;5724;5724;2865;2865;2874;2874;2877;2877
34368;2874;2874;5715;5715;2853;2853;2868;2868;2874;2874
34272;2871;2871;5700;5700;2841;2841;2859;2859;2865;2865
34206;2859;2859;5703;5703;2847;2847;2844;2844;2850;2850
34212;2850;2850;5715;5715;2859;2859;2841;2841;2841;2841
34296;2844;2844;5727;5727;2874;2874;2853;2853;2850;2850
34398;2853;2853;5733;5733;2874;2874;2871;2871;2868;2868
34374;2856;2856;5721;5721;2859;2859;2874;2874;2877;2877
34362;2874;2874;5712;5712;2850;2850;2871;2871;2874;2874
34272;2871;2871;5703;5703;2844;2844;2856;2856;2862;2862
34152;2856;2856;5697;5697;2838;2838;2838;2838;2847;2847
34152;2853;2853;5706;5706;2844;2844;2835;2835;2838;2838
34188;2844;2844;5712;5712;2859;2859;2838;2838;2841;2841
34248;2841;2841;5718;5718;2868;2868;2850;2850;2847;2847
34338;2850;2850;5727;5727;2868;2868;2862;2862;2862;2862
34368;2862;2862;5721;5721;2859;2859;2871;2871;2871;2871
34302;2871;2871;5700;5700;2847;2847;2865;2865;2868;2868
34188;2862;2862;5697;5697;2835;2835;2847;2847;2853;2853
34110;2853;2853;5700;5700;2829;2829;2835;2835;2838;2838
34140;2841;2841;5712;5712;2859;2859;2838;2838;2820;2820
34278;2841;2841;5730;5730;2871;2871;2844;2844;2853;2853
34362;2853;2853;5724;5724;2865;2865;2871;2871;2868;2868
34344;2868;2868;5712;5712;2853;2853;2868;2868;2871;2871
34260;2868;2868;5700;5700;2841;2841;2859;2859;2862;2862
34188;2859;2859;5697;5697;2838;2838;2847;2847;2853;2853
34158;2850;2850;5706;5706;2847;2847;2838;2838;2838;2838
34224;2841;2841;5721;5721;2865;2865;2844;2844;2841;2841
34296;2835;2835;5727;5727;2871;2871;2859;2859;2856;2856
34374;2859;2859;5724;5724;2862;2862;2871;2871;2871;2871
34314;2868;2868;5709;5709;2847;2847;2865;2865;2868;2868
34206;2862;2862;5694;5694;2838;2838;2853;2853;2856;2856
34194;2847;2847;5712;5712;2856;2856;2841;2841;2841;2841
34314;2841;2841;5730;5730;2874;2874;2859;2859;2853;2853
