Weight Total;Axis1R;Axis1L;Axis2R;Axis2L
8418;2103;2103;2106;2106
8382;2091;2091;2100;2100
8394;2109;2109;2088;2088
8418;2106;2106;2103;2103
8406;2091;2091;2112;2112
8388;2097;2097;2097;2097
8406;2109;2109;2094;2094
8406;2097;2097;2106;2106
8424;2106;2106;2106;2106
8394;2088;2088;2109;2109
8394;2103;2103;2094;2094
8412;2112;2112;2094;2094
8418;2097;2097;2112;2112
8394;2091;2091;2106;2106
8394;2106;2106;2091;2091
8418;2109;2109;2100;2100
8412;2094;2094;2112;2112
8388;2091;2091;2103;2103
8394;2106;2106;2091;2091
8412;2106;2106;2100;2100
8412;2094;2094;2112;2112
8388;2094;2094;2100;2100
8400;2109;2109;2091;2091
8418;2106;2106;2103;2103
8412;2094;2094;2112;2112
8370;2085;2085;2100;2100
8400;2109;2109;2091;2091
8406;2103;2103;2100;2100
8412;2094;2094;2112;2112
8388;2094;2094;2100;2100
8394;2106;2106;2091;2091
8424;2112;2112;2100;2100
8418;2097;2097;2112;2112
8382;2088;2088;2103;2103
8388;2103;2103;2091;2091
8418;2112;2112;2097;2097
8418;2100;2100;2109;2109
8388;2091;2091;2103;2103
8388;2100;2100;2094;2094
8412;2112;2112;2094;2094
8418;2100;2100;2109;2109
8394;2091;2091;2106;2106
8388;2103;2103;2091;2091
8418;2112;2112;2097;2097
8412;2100;2100;2106;2106
8400;2091;2091;2109;2109
8388;2100;2100;2094;2094
8412;2112;2112;2094;2094
8412;2097;2097;2109;2109
8394;2091;2091;2106;2106
8382;2100;2100;2091;2091
8418;2112;2112;2097;2097
8418;2100;2100;2109;2109
8400;2091;2091;2109;2109
8388;2100;2100;2094;2094
8412;2112;2112;2094;2094
8412;2100;2100;2106;2106
8394;2088;2088;2109;2109
8394;2103;2103;2094;2094
8412;2112;2112;2094;2094
8424;2103;2103;2109;2109
8394;2088;2088;2109;2109
8394;2100;2100;2097;2097
8400;2109;2109;2091;2091
8424;2106;2106;2106;2106
8406;2091;2091;2112;2112
8388;2097;2097;2097;2097
8394;2106;2106;2091;2091
8418;2106;2106;2103;2103
8406;2091;2091;2112;2112
8388;2094;2094;2100;2100
8394;2106;2106;2091;2091
8412;2109;2109;2097;2097
8418;2100;2100;2109;2109
8406;2091;2091;2112;2112
8388;2094;2094;2100;2100
8388;2103;2103;2091;2091
8406;2106;2106;2097;2097
8406;2097;2097;2106;2106
8406;2091;2091;2112;2112
8376;2091;2091;2097;2097
8394;2106;2106;2091;2091
8424;2112;2112;2100;2100
8418;2100;2100;2109;2109
8400;2091;2091;2109;2109
8382;2097;2097;2094;2094
8400;2109;2109;2091;2091
8412;2103;2103;2103;2103
8394;2088;2088;2109;2109
8382;2094;2094;2097;2097
8376;2106;2106;2082;2082
8418;2106;2106;2103;2103
8394;2091;2091;2106;2106
8382;2094;2094;2097;2097
8400;2109;2109;2091;2091
8418;2106;2106;2103;2103
8394;2088;2088;2109;2109
8388;2100;2100;2094;2094
8406;2109;2109;2094;2094
8406;2094;2094;2109;2109
8382;2091;2091;2100;2100
8400;2109;2109;2091;2091
8418;2106;2106;2103;2103
8394;2088;2088;2109;2109
8382;2103;2103;2088;2088
8418;2106;2106;2103;2103
8400;2088;2088;2112;2112
8388;2100;2100;2094;2094
8418;2112;2112;2097;2097
8412;2097;2097;2109;2109
8388;2088;2088;2106;2106
8418;2109;2109;2100;2100
8400;2091;2091;2109;2109
8382;2094;2094;2097;2097
8418;2100;2100;2109;2109
8394;2088;2088;2109;2109
8388;2106;2106;2088;2088
8400;2091;2091;2109;2109
8382;2100;2100;2091;2091
8418;2109;2109;2100;2100
8394;2085;2085;2112;2112
8388;2100;2100;2094;2094
8418;2106;2106;2103;2103
8406;2091;2091;2112;2112
8388;2103;2103;2091;2091
8418;2109;2109;2100;2100
8394;2091;2091;2106;2106
